S.F.	S.D.	S.S.	H.L.	C.A.	C.W.	Ed.	G.E.	I.D.	G.Go.	A.Q.	B.	R.W.R.	C.	R.E.	G.Ga.	O.F.	G.S.	GDP	Em.	P.D.
TJK	7.4	6.4	9.4	6.2669683258	4.174	4.508582776	7.17552	6.526	6.9767632607	2.7993188965	3.804318971	2.0684147072	2.516	7.6886921843	5.904348915	9.6029	1	2.7537536117	1.4468461364	8.0251879796	8.6792673036
TOG	7	6.1	1.3	5.2583932854	4.117	4.419754827	6.27	6.2	6.8386140921	3.2254151729	6.996373495	5.5220741306	9.885	6.991843124	8.297848761	9.8052	1	1.3070202559	1	1.636541368	9.0007801383
UGA	7.8	7.2	3.4	3.8562217924	4.934	3.950387729	6.85	7.22	3.3621649371	3.8117548006	4.77	5.1303671796	9.95191	4.9705311609	8.581210524	9.8573	3.3568705234	8.4416017177	1	6.5704683235	9.0983595891
ZIM	7	8	4	3.5498544396	5.246	7.193411975	5.71	6.607	1.6696016967	1.8362324121	3.636452168	10	7.898	6.9428787089	6.8819806504	9.2782	1	1.4146302812	1	1	2.5671321359
ARM	7.9	9.8	9	6.874943156	4.603	5.104475752	7.679023	6.654	7.945336025	4.3857932433	3.41005049	3.9957985942	6.361	6.2671273082	1	8.6936	1	7.9790206283	3.2400588499	1.4956861922	8.6989662533
BHU	6.7	9.6	4.4	5.9308510638	5.644	4.280072892	6.555197	6.3	3.072787386	5.1970730524	5.518486068	10	9.95668	1	4.7631306057	9.5737	1	9.6730006759	3.5808624929	6.7032004604	1.2666081499
BOL	7.3	8.8	2.7	6.4369576314	5.894	8.344258105	8.12	6.862	1	3.8994909512	5.626171354	9.2535632742	9.96744	2.46671676	2.692682595	8.584	1	8.089048498	2.9483703559	5.7694981038	8.8652705435
CGO	8.7	7.1	1.8	4.7512332629	2.822	4.904120102	6.116469	6	2.644772613	2.9762474413	2.700072735	4.8410194857	9.99945	6.8002727101	5.4231570437	9.5892	1	1	2.8474855241	2.417140169	9.4418177496
CIV	8.6	8	2.4	4.7080961417	4.528	5.086809682	3.92	5.773	3.790830381	2.5770882855	7.105438827	10	9.8263	6.6846885642	7.717312754	9.7057	1	7.5780824045	1.1531904579	1.636541368	1
CMR	7.8	7.7	4.9	4.2871485944	3.362	5.286321098	6.353616	6.073	5.5432728473	3.2455275279	5.770185633	4.5005101405	9.9664	6.7238148352	6.745993743	9.7434	1	7.5483325861	1.5614915072	7.4826356044	9.7558255188
EGY	10	9.9	9.5	6.7359187442	8.467	6.237190955	7.123558	5.933	7.6337949434	3.8703262893	4.212979584	3.0418300082	1	6.3195101281	1	7.8107	4.269818552	6.9913990927	3.7731909281	3.541977167	1.7746779136
ESA	9.1	8.8	8.7	6.8905297703	6.093	4.978634234	7.089158	6.567	2.2090997796	4.7977851559	5.190434872	1	9.4546	5.2703439626	5.3939150337	9.0524	1.0333539796	6.5993270715	4.2050279481	5.5838867997	6.6567776024
GEO	9.4	9.8	9.5	7.3772893773	5.614	4.023913886	7.19	6.624	3.2627979462	4.8821546952	5.640935025	1.6945672391	9.7137	6.8166982988	3.8817127301	8.8905	1	5.4201692429	3.2912488202	2.2476497011	8.7930061313
GHA	10	8.6	1.4	5.1471375067	4.062	7.783172508	6.46	6.811	3.1348618088	5.2107472449	5.943392666	6.9785538781	9.8154	4.8988905729	7.0258109548	9.6111	1	8.3286009093	2.0412812248	1.636541368	7.8506405325
GUA	7.8	9.2	7.8	6.7379933428	5.346	5.988068784	7.07	6.229	1	3.7982907769	4.897781157	10	9.7365	5.632650463	6.7041865699	9.2837	1	6.9112678316	3.0874141514	6.6365025014	9.360810182
GUY	9.2	9.4	8.4	5.616398243	6.592	4.279484128	6.919774	7.084	1	4.2716623138	4.492	2.382337086	9.93195	3.8974984126	1.2823643699	5.0414	1	6.0438256031	4.170171256	3.328710837	4.2105272636
HON	8.8	8.7	7.7	7.0717592593	5.406	4.974678157	7.207665	6.945	1	3.7937707679	4.260215698	6.9308933656	9.8755	5.8122434037	4.8599632927	9.0402	1.3037601105	8.4090847685	2.7225744743	6.4403642108	9.1601860175
INA	8.7	8.2	5.4	6.7848350566	5.432	6.219592318	7.556312	6.594	6.3128364551	4.0434165477	3.89265443	3.2108612986	9.4388	6.992867372	3.4470860721	8.2868	1	9.1733227663	2.8864254655	5.1892288016	9.3164749878
IND	8.1	9.2	3.4	6.101924077	1	7.893746215	6.456036	6.19	6.6365025014	4.3780369081	3.893750091	2.4111603482	6.612	8.145301132	2.627791962	8.6116	1.0269154897	9.2832784545	2.3782728509	3.7531109885	2.9409558571
LAO	7.8	6.7	6.3	5.803652968	3.951	8.505482769	6.295739	6.8	6.3128364551	3.0662200536	4.87	8.3089937076	9.8723	5.9197387814	4.7631306057	9.5737	1	6.6596121254	1.7983020764	7.7880078307	5.2286676017
MAR	10	8.3	7	7.0873239437	6.933	6.288058139	6.04	5.804	4.4932896412	4.3621768423	3.157375502	1	5.655	6.8127386467	1	8.5618	1	9.3480309009	3.078845993	4.0656965974	5.905191537
MDA	10	9.6	8.5	6.907978463	6.38	4.882588907	6.899782	7.083	5.4881163609	4.2123608468	4.506827401	1	8.356	5.5808844175	1	8.2842	2.7724609034	8.7381610757	2.2032267	5.1170857779	9.3905465942
MGL	7.3	8.2	5.1	6.4485842027	5.191	4.501221983	8.671394	7.14	6.6365025014	4.4930618654	1.302826008	6.6930941099	9.8531	1	1	5.6921	1	1.2015454843	2.9255741826	7.4081822068	6.6942970549
MTN	9.2	5	2.6	5.2257971014	4.572	4.581468373	5.014971	6.164	4.9164419746	3.1875235555	6.368	1	8.598	1.4460992131	8.581210524	9.8573	1	5.74976296	1.5144450593	1	1
NCA	8.1	8.5	5.2	7.4212454212	5.419	4.234161968	7.01	7.245	1	3.6563080293	4.259129708	10	9.93454	5.9130260916	5.5283547587	9.2291	1.506954961	7.4528893645	2.1099897471	4.5707855961	2.3177760618
NGR	9.4	5.8	3.1	3.7926666667	2.961	4.48243818	5.584845	6.011	3.072787386	2.6519213909	6.256130157	6.2934770897	9.6398	5.7015590162	8.436755709	9.7103	1	9.335441589	1.7512847647	1	9.6027769724
PAK	7.5	9.2	4.8	5.9043927649	1.876	6.256461774	4.37	5.583	7.710515858	2.7419468114	4.116545709	4.9051005451	2.565	8.2799399632	3.7316172129	9.2244	1	8.4490001349	1.8723628369	5.5156256587	4.5825852078
PAR	9	8.6	7.1	7.3928405393	5.53	5.175934445	7.05	6.818	1	3.6795077409	6.228247566	2.722428644	9.98542	1.63125093	10	9.2729	1	8.9810877732	3.2537835063	5.7120906385	9.7335308403
PHL	8.7	9.2	7.4	7.0609636185	5.544	8.932109005	7.875002	7.685	3.8289288598	3.8724646321	3.906065632	2.5169965797	8.297	6.7242433444	3.9800087986	9.1804	1.5409457776	9.1041119675	2.5806209381	4.9534539107	8.198047697
PNG	6.9	4	4.5	6.121805329	5.076	3.955781063	3.7	7.1	1.8268352405	3.6195550576	5.9619667	1	9.9951	3.8566668845	3.6730452701	9.5737	1	5	1.7243286726	8.2695913394	9.4365135678
SEN	8.1	7.2	5.2	5.2545977011	2.765	8.364733727	4.972387	6.573	4.7711391552	4.1401227021	4.860003105	10	9.4276	5.5998919934	4.697447544	9.5597	1	8.884119671	1.327551718	1	8.1821874747
SRI	8	9.1	9.2	7.2090623598	5.18	9.168457173	6.456036	7.212	5.3259180101	4.2575413468	3.645663879	7.4767713915	7.547	6.9411146377	5.6127027009	9.3603	3.4179332596	9.032503251	3.3777234936	6.1262639418	1.5674683075
SUD	7.8	5.8	2.6	5.0830564784	3.868	6.521328144	3.86	6	1.7204486382	1.7386849069	6.705533429	2.0892691646	4.242	4.8605596939	7.0700837826	9.6855	1	3.0029281206	1.8374275556	3.0020190921	2.1666371728
SYR	10	9	9.5	7.208499336	8.083	4.496394312	6.64	5.896	6.6365025014	3.1424455657	2.739410373	1	1.363	7.5345939828	1	7.1753	1	2.5525245595	2.9537689418	4.3171052343	8.7537687766
UKR	10	9.8	9.4	6.8132942326	6.915	2.98318372	9.195026	6.861	9.0483741804	3.8833107497	1.882185481	1.8005737144	7.244	4.9561800879	1	4.1883	1.5097799266	8.1091910912	4.0729086993	4.4060786241	8.5833210792
