S.F.	S.D.	S.S.	H.L.	C.A.	C.W.	Ed.	G.E.	I.D.	G.Go.	A.Q.	B.	R.W.R.	C.	R.E.	G.Ga.	O.F.	G.S.	GDP	Em.	P.D.
FRA	10	10	10	8.8785066007	9.953	8.651445739	9.44	7.018	7.7215387523	7.5408749898	5.493823289	8.5507982901	8.502	1.0984156369	1	4.4823	5.3691557759	8.3109322134	9.246463077	3.8003193132	1
GBR	10	10	10	8.7724601175	10	8.161695177	9.01	7.462	6.2411004535	7.7581372929	5.129533179	9.0295343767	9.1184	3.1193405482	1	2.224	6.618754287	6.1059171204	9.3004342866	4.490594476	1.2288938939
GER	10	10	10	8.879245283	10	7.855732977	9.52	7.59	7.717528605	7.8719529449	5.887339869	10	7.903	3.0761459638	1	1	7.7298240997	8.8453053134	9.3954537265	5.4974540936	1.3056268032
GRE	10	10	9.8	8.7875734677	10	7.711127494	9.86	6.916	5.9041885105	5.8175570017	2.346471534	4.9496437086	8.726	2.0176374717	1	2.5467	6.0759308059	2.0419087335	8.5127409464	1.7719578992	1
IRL	10	10	9.9	8.9103375527	10	9.190953789	10	7.83	6.1525757008	7.909697335	4.608474007	1	9.7595433753	1.7697324685	1	1.3619	2.5105287008	6.9342896672	9.476319404	2.3714108965	1
ISL	10	10	10	9.0608302507	10	10	9.59	8.53	8.9807652245	7.838555729	1.103851442	6.5879248128	9.99029	1	8.2483074694	3.9561	1	2.0334843193	9.403490208	4.7582744547	1
ISR	10	10	10	8.9842845327	9.807	5.767923439	9.21	6.926	4.0656965974	6.0355062726	1.772996762	7.53919807	1	4.5737174389	1	1.07	3.4341349227	8.5601401687	8.9562313391	5.6978282473	2.0160814986
ITA	10	10	10	9.0151701517	10	8.21702349	9.08	6.796	6.303131866	6.0345235087	5.807879865	7.9323824991	7.631	2.8868769824	1.060149102	3.4118	8.8749996134	8.1206561399	8.9146061728	4.3313752141	1
JPN	10	10	10	9.3947474747	10	8.78177738	8.915876	6.514	10	7.3834609816	5.958156994	5.4570989007	7.907	5.5403950205	1	1.0265	1	8.7689368171	9.2211936889	6.3451141592	1
KOR	10	9.8	10	8.6492223623	8.903	8.492932299	10	6.281	7.2190475363	6.4400841264	5.369228344	2.5046315563	6.346	4.3589261617	1	1	1.8880780658	9.2912936635	9.0138620242	7.1120113421	8.7737942601
KSA	10	9.1	8.8	7.0564663024	8.632	4.243951747	8.434011	5.753	6.4403642108	4.458476192	1.88142585	10	1	4.8280561305	1	1	1	3.0112451599	8.2669760716	3.6787944117	9.8899448367
KUW	10	9.9	10	8.1976222521	8.527	4.478	8.309492	6.322	6.4403642108	5.3624060931	1	1	1	3.2540017734	1	1	1	8.9698788976	9.559769753	8.1285706232	9.8939332486
LAT	10	9.9	7.8	7.6488262911	6.641	9.054742646	8.238388	7.399	4.1686201968	6.3280937833	7.440637758	8.1919674325	9.8835	1.7637286111	3.5577401478	6.3998	9.0406334112	8.5887718454	6.7591728601	2.0948565804	8.4696715584
LTU	10	10	9.4	7.4628584861	10	8.588255838	9.071496	7.131	3.7079524717	6.4495873104	4.275419578	7.1988824527	9.045	1	1.5358905469	5.9795	7.422252732	8.5685273571	7.4284682341	2.1224797383	8.355002656
LUX	10	10	10	8.8333333333	10	7.02633147	7.55	7.216	8.4413364949	8.4240726168	6.253248096	10	9.8058	1	1	1	5.0863820645	8.4054450585	10	5.4673010928	9.494541744
MLT	10	10	10	8.7422334173	10	2.39304175	8.188855	6.658	8.2224712887	7.4234081436	2.355832666	1	2.871	3.8853056897	1	4.0103	1	5.2541067367	8.4135605148	5.2729242404	2.4748668508
NED	10	10	10	8.8940907199	10	7.318700915	9.94	7.47	8.953627677	8.3030048768	6.771681359	7.5777079544	8.834	1	1	1	4.5069334173	8.8185662759	9.5780716949	6.3762815162	3.2741806273
NOR	10	10	10	8.8938640133	10	9.508231942	9.795191	8.404	9.1097188559	8.391220009	6.602588892	5.4275998903	9.92306	1	3.6068871731	1.9889	7.4881548996	9.0561321455	9.8631583956	7.2036301971	6.8809157096
NZL	10	10	10	8.8485037406	10	9.920329161	10	7.81	4.4485806622	8.5220486703	3.920431492	10	9.8546	1	3.8990044682	2.9604	2.3723647502	8.3074697267	8.6583339802	5.2074229235	8.5357066347
OMA	9.2	8.9	9.9	7.4851801186	8.848	4.418011427	7.54	5.873	6.4403642108	5.5884931983	1.788659293	4.6569318678	1.607	1.9464492331	1	1	1	1.6866683038	8.5375969339	2.2313016015	9.9437085933
POL	10	10	9	7.9075797872	10	8.163446852	8.8	7.038	7.1614618222	6.6149739814	2.535930624	10	8.06	3.5880164922	1	2.0103	5.696376947	8.1022599252	7.6910481811	3.8109751185	5.6821648647
POR	10	9.9	10	8.5604512559	10	7.785518618	9.56	7.144	6.2672879279	6.9107075318	3.773694799	3.0633388021	8.768	2.9620250369	2.3278007703	5.4732	7.6479307404	3.2458938231	8.1510366945	2.7965460244	1
QAT	10	10	10	7.8765034364	10	4.478	5.742254	6.23	1	6.3219752456	3.270159842	1	1	1	1	1	1	5	10	9.6078943915	8.9599717182
RUS	10	9.7	7	6.8296296296	6.915	8.236101028	8.53	7.037	4.2316208232	3.5072953664	1.927745946	4.5964927761	9.8531	3.8410272416	1	1	1	7.3168974469	7.0010549938	5.2204577676	9.8409230607
SLO	10	9.9	10	8.5602205259	6.781	9.298486061	9.42	7.041	9.5839046552	6.8276171787	3.730698818	6.5332309145	9.7044	3.3497965738	1.4840238718	2.5215	7.9196805495	8.8549755244	8.7532755201	4.4561496812	7.2784671623
SUI	10	10	10	9.2125662995	10	8.69179465	8.69246	7.627	7.6014777467	8.4084610793	7.257289851	10	9.5114	4.1505140827	1.9021706055	4.3702	9.4176090549	9.3723864761	9.6196761317	7.3271387587	7.0535684287
SVK	10	10	10	7.9386792453	10	8.918456822	8.01699	6.797	8.5580367078	6.5584255569	3.95194407	10	9.8627	2.0560594181	1	3.5535	8.9483888459	8.570822739	8.143193294	2.6181948532	7.6842720571
SWE	10	10	10	9.0762257932	10	9.617802256	9.277596	8.044	9.0483741804	8.531274581	6.609754388	5.0117628137	9.8497	1	3.3944296079	4.927	9.7032418954	9.0913856222	9.508423444	4.7392793723	8.4999944161
TPE	10	10	10	8.5333333333	10	6.257	9.51	6.7	6.1878339181	6.9449725645	5.085349084	2.4487565552	7.422	2.3666666667	1	1	1	5	9.3866535679	6.4468077963	8.1624173861
TRI	8.9	9.4	9.2	7.0598166908	10	4.630509023	6.409572	7.372	3.790830381	5.2171490854	4.446926167	4.7992807966	9.3969	5.0144865404	1	1	1	1	7.6432299166	5.5989836657	8.9018115157
UAE	10	10	9.8	8.0596491228	8.294	4.478	6.71584	6.454	6.4403642108	5.8219754904	3.252572428	2.3542563064	1	1.755586435	1	1	1	9.4893614814	9.7564640198	6.7032004604	9.6349216498
URU	10	10	10	7.8627580149	7.312	6.343841138	9.05	6.907	3.7531109885	6.6963804965	5.13752486	1	9.7367	1	4.8968759671	8.0796	7.9233572778	7.2821780223	6.628086951	5.4335086907	5.9513780953
USA	10	9.9	10	8.3783204799	10	7.747302495	9.831476	7.412	3.1981902182	7.3836673158	3.040190409	6.8304319319	8.443	2.278411933	1	1	1.4030002336	5.2633122573	9.761923449	4.0860759864	1
