S.F.	S.D.	S.S.	H.L.	C.A.	C.W.	Ed.	G.E.	I.D.	G.Go.	A.Q.	B.	R.W.R.	C.	R.E.	G.Ga.	O.F.	G.S.	GDP	Em.	P.D.	S.F.	S.D.	S.S.	H.L.	C.A.	C.W.	Ed.	G.E.	I.D.	G.Go.	A.Q.	B.	R.W.R.	C.	R.E.	G.Ga.	O.F.	G.S.	GDP	Em.	P.D.	S.F.	S.D.	S.S.	H.L.	C.A.	C.W.	Ed.	G.E.	I.D.	G.Go.	A.Q.	B.	R.W.R.	C.	R.E.	G.Ga.	O.F.	G.S.	GDP	Em.	P.D.	S.F.	S.D.	S.S.	H.L.	C.A.	C.W.	Ed.	G.E.	I.D.	G.Go.	A.Q.	B.	R.W.R.	C.	R.E.	G.Ga.	O.F.	G.S.	GDP	Em.	P.D.
GBS	6.7	5.9	3.4	3.4166666667	5.012771333	4.549164798	5.7637168	6.1	2.3457028809	3.4366666667	6.368	10	9.94355	6.4847028556	8.6935861435	9.863	1	7.4678485797	1	3.6059494017	1	6.1	5.7	3.3	3.5501831502	5.014606337	4.549164798	6.540241	6.2	2.3457028809	3.1	6.368	10	9.94355	6.4247943266	8.628000613	9.8588	1	9.1044327302	1	2.4907530463	1	7.8	6	2.1	3.7578754579	5.014606337	4.549164798	6.540241	6.2	5.971916225	2.920880641	6.368	10	9.94355	6.6282510499	8.6028993918	9.8541	1	9.0687469743	1	1.7728440997	6.9839502052	7.8	6.4	2	3.7718168813	5.015	4.549164798	6.540241	6.2	6.2500226828	2.9352031138	6.368	10	9.94355	6.5560178736	8.581210524	9.8573	1	8.8257556082	1	1.636541368	7.5984509797
GUI	7.4	5.1	1.3	4.1333333333	4.449957495	4.553565237	4.287417	6.1	4.5840601131	3.1066666667	6.368	3.21	9.92832	4.7670283387	8.6935861435	9.863	1	1.8799882707	1	3.6059494017	1	7.6	7	1.9	4.4531346989	4.493630486	4.553565237	4.890116	6.2	1	2.1133333333	6.368	3.21	9.92832	4.6663864718	8.628000613	9.8588	1	1	1	2.4907530463	1	8.3	7.1	1.9	4.7034140286	4.725204756	4.553565237	5.22767	6.2	3.740621446	2.0926782119	6.368	3.21	9.92832	4.7355892951	8.6028993918	9.8541	1	1	1	1.7728440997	1.3967965713	8.4	7.4	1.8	4.650063857	4.725	4.553565237	5.22767	6.2	5.0157606907	2.4531188321	6.368	3.2103531316	9.92832	4.6166625691	8.581210524	9.8573	1	1.4069488074	1	1.636541368	2.2953899122
HAI	5.3	7.1	3.4	3.9666666667	5.044734284	3.969387674	5.8447787412	6.7	1.8824706564	1.96	6.770692338	1	9.1447	8.3275084387	7.4307067473	9.7881	1	9.3251429912	1	1	8.3466197163	5.4	5.8	1.9	4.3184738956	5.052155527	3.969387674	5.8619532948	6.9	1	2.6666666667	6.770692338	1	9.1447	8.3165873029	7.4333660227	9.7861	1	9.3496238484	1	1	8.4672574548	4.3	6.3	1.7	4.3561675273	5.052155527	3.969387674	5.869917532	6.9	1	2.7216753514	6.770692338	1	9.1447	8.1909620694	7.1727120039	9.7598	1	9.0632285834	1	1	9.626867119	4.3	6.9	1.7	5.7704557935	5.052	3.969387674	5.84	7.1	1	2.6916224558	6.770692338	1	9.1447	8.3033449382	7.0509581613	9.7872	1	8.9824868779	1	1	9.8151464997
KEN	6.7	6.2	4.8	4.0666666667	5.146420516	5.785792632	5.867109	6.4855919613	4.0252422403	3.5033333333	5.850818359	5.865	9.1091	6.9031808323	8.5057056221	9.7978	1	8.7560052273	1.0326877786	1	7.3674506792	6.9	5.7	4.2	4.5164705882	5.207960144	5.785792632	5.968047	6.5472846084	4.0252422403	3.7066666667	5.850818359	5.865	9.1091	6.8529472362	8.3379893975	9.7745	1	8.8035156389	1.1551667687	1	7.5617398538	6.9	5.9	3.1	4.5309803922	5.207960144	5.785792632	6.33	6.499444193	1.9204990862	3.6389262457	5.850818359	5.865	9.1091	6.8367363724	8.3332173231	9.7763	1	8.5569898281	1.1696545085	1	6.8438167331	6.7	5.9	3.2	4.8725490196	5.208	5.785792632	6.7	6.493	2.2537265554	3.6604923059	5.850818359	5.8639677267	9.1091	7.2033216226	8.066012294	9.7312	1	8.839340062	1.2504398874	1	7.0008658046
KGZ	9.4	7.6	6	5.8833333333	4.877929138	4.133459807	7.885097	6.7415057477	6.6365025014	3.3633333333	3.816893108	3.47	7.941	7.5673388613	4.6263885493	9.0205	1	6.2515147398	1.2296974687	4.4485806622	2.2526090025	10	8.9	9.3	5.9537971458	4.752141443	4.133459807	7.90093	7.0452060686	8.2695913394	3.2766666667	3.816893108	3.47	7.941	7.4101778109	4.7650354836	9.0688	1	8.8656025644	1.4047604043	4.4043165451	7.0861152501	9	9	9.3	6.1651885831	4.867070345	4.133459807	7.759967	6.9728574824	7.7283299029	3.4164243076	3.816893108	3.47	7.941	7.3211573123	3.3964636151	8.8771	1	7.1355328741	1.5447641726	4.3171052343	4.5363803278	8.9	9	9.3	6.3345606284	4.867	4.133459807	7.6	7.036	7.8662786107	3.2808966763	3.816893108	3.4708386424	7.941	7.0839029868	3.0565894068	8.6986	1	8.4530301928	1.6301165944	4.5289272124	6.3261494702
LBR	5.4	6.2	3.6	2.55	4.010368383	4.846	6.32	6.1	1.8824706564	2.0833333333	6.368	1	9.99231	5.9173440454	8.6935861435	9.863	1	1.0944342397	1	5.712090693	1	6.9	6.4	3.2	2.8052130898	4.39817214	4.846	6.32	6.2	1.7204486382	3.2033333333	6.368	1	9.99231	5.8843091188	8.628000613	9.8588	1	1.0944342397	1	5.712090693	1	6.7	6.8	1.7	4.4976788432	4.59584988	4.846	6.32	6.2	4.4746065511	3.0726482545	6.368	1	9.99231	5.9988264351	8.6028993918	9.8541	1	1.0944342397	1	5.712090693	9.6939467729	6.8	7.3	1.8	4.9041434756	4.596	4.846	6.32	6.2	4.3604928632	3.5010400169	6.368	1	9.99231	6.1351198446	8.581210524	9.8573	1	1.0944342397	1	6.9073432734	9.7260597423
MAD	6.3	4.5	3.3	4.7666666667	5.00726632	4.759806015	6.1	6.3852804897	2.2992548519	4.85	4.77	1.27	9.5644	6.3680836341	8.6935861435	9.863	1	6.8293915111	1	7.7105159316	9.8334815469	6.2	4.7	1.2	5.0635253054	5.00726632	4.759806015	6.266601	6.7355558638	2.2992548519	4.63	4.77	1.27	9.5644	6.2132673513	8.628000613	9.8588	1	6.8293915111	1	7.7105159316	9.9154321187	7.5	4.1	1.1	5.1907504363	5.00726632	4.759806015	6.461655	6.7131248416	3.178569481	4.3134080546	4.77	1.27	9.5644	6.3106245772	8.6028993918	9.8541	1	6.8293915111	1	7.7105159316	9.9195235978	7.5	4.6	1.5	5.4393476045	5.007	4.759806015	6.75	6.797	3.1981902182	3.5147717552	4.77	1.2721358866	9.5644	6.3585178404	8.581210524	9.8573	1	6.8293915111	1	7.7105159316	9.9305744174
MAW	6.7	6.7	4.6	2.4833333333	5.00726632	3.034154526	6.594137	6.436655121	1.6202575093	3.8833333333	4.77	7.51	9.4389	7.6934210473	8.6935861435	9.863	1	3.1399520993	1	1	8.9115279263	6.5	7.6	6	2.9098888889	5.00726632	3.034154526	6.492654	6.6637211638	5.2729242404	4.1666666667	4.77	7.51	9.4389	8.1377926539	8.628000613	9.8588	1	8.7661189222	1	1	8.115871365	7.2	8	5.6	3.5303333333	5.00726632	3.034154526	6.33	6.8243990632	5.2565853593	4.3162859435	4.77	7.51	9.4389	7.5457946676	8.6028993918	9.8541	1	7.4696164369	1	1	8.7029365046	7.3	8.3	5.1	4.2593320236	5.007	3.034154526	6.77403	6.85	5.4881163609	4.4682074106	4.77	7.508784453	9.4389	7.58689903	8.581210524	9.8573	1	8.1184900495	1	1	7.9686021108
MLI	7.1	4.8	4.5	2.9833333333	3.471966708	7.863232827	3.649595	5.99616322	1.5567263037	4.5933333333	6.368	1.215	9.3454	4.3193749147	8.6935861435	9.863	1	6.9124954888	1	4.1478290377	9.5158267955	7.1	6	4.5	3.3125804376	3.541342828	7.863232827	4.040697	6.1168862221	4.4932896412	4.4833333333	6.368	1.215	9.3454	4.4709800382	8.628000613	9.8588	1	8.1057551426	1	2.4907530463	9.4651253821	8.8	5.6	3.6	2.5687258687	3.541401767	7.863232827	4.494431	5.6797097327	5.0680466304	4.3784642828	6.368	1.215	9.3454	4.4477056492	8.6028993918	9.8541	1	8.1057551426	1	1.7728440997	9.0845862941	8.8	6.4	2.2	3.779342723	3.541	7.863232827	4.827252	5.752	5.1170857779	4.1368290005	6.368	1.2169599442	9.3454	4.1048529416	8.581210524	9.8573	1	8.1057551426	1	1.636541368	9.0132895375
MOZ	5.3	4.2	2.7	2.8166666667	5.02202156	4.663881065	4.830784	6.8831391875	4.4932896412	4.0833333333	5.016587217	7.405	9.96572	7.4445120368	9.6427226474	9.927	1	4.0707484	1	1.2245642825	6.0763692095	5.6	4.2	3.1	2.5510984848	5.02202156	4.663881065	5.4688	7.2662914518	2.3930892224	4.38	5.016587217	7.405	9.96572	7.5214124063	9.6678277944	9.9236	1	3.5452016296	1	1.2245642825	8.0065178562	6.2	4.7	1.7	3.361780303	5.02202156	4.663881065	5.89	7.3288391238	2.4252107464	4.4044505311	5.016587217	7.405	9.96572	7.6552944226	9.5857413794	9.9098	1	1.9257112026	1	1.2245642825	8.3000665634	6.2	4.7	1.8	3.7674897119	5.022	4.663881065	5.89	7.251	2.3692775868	4.4907909443	5.016587217	7.4034704828	9.96572	7.6615638685	9.5646340955	9.8931	1	7.035336582	1	1.2245642825	8.8423172362
