S.F.	S.D.	S.S.	H.L.	C.A.	C.W.	Ed.	G.E.	I.D.	G.Go.	A.Q.	B.	R.W.R.	C.	R.E.	G.Ga.	O.F.	G.S.	GDP	Em.	P.D.	S.F.	S.D.	S.S.	H.L.	C.A.	C.W.	Ed.	G.E.	I.D.	G.Go.	A.Q.	B.	R.W.R.	C.	R.E.	G.Ga.	O.F.	G.S.	GDP	Em.	P.D.	S.F.	S.D.	S.S.	H.L.	C.A.	C.W.	Ed.	G.E.	I.D.	G.Go.	A.Q.	B.	R.W.R.	C.	R.E.	G.Ga.	O.F.	G.S.	GDP	Em.	P.D.	S.F.	S.D.	S.S.	H.L.	C.A.	C.W.	Ed.	G.E.	I.D.	G.Go.	A.Q.	B.	R.W.R.	C.	R.E.	G.Ga.	O.F.	G.S.	GDP	Em.	P.D.
MYA	9.4	8	7.3	5.2833333333	3.449882793	4.572970118	5.17	6.8	1.8824706564	1.5533333333	7.024242694	2.61	9.7155	5.4693659203	7.0407629741	9.7722	1	5	1	6.6898074569	2.8154108422	10	8	8.2	5.5998052309	3.462792629	4.572970118	5.6418075	6.8	1.7204486382	1.6166666667	7.024242694	2.61	9.7155	4.7871027085	7.0038274971	9.7926	1	5	1	6.6898074569	7.9697057965	8.4	7.1	8.1	5.5278797997	3.3844103	4.572970118	5.74	6.8	1.7204486382	1.3692577176	7.024242694	2.61	9.7155	4.3266511765	7.1367296134	9.8414	1	5	1	6.6898074569	7.9175611479	8.4	8.3	7.6	5.1051524711	3.384	4.572970118	5.74	6.8	1.7204486382	1.5108922642	7.024242694	2.6108978517	9.7155	3.8017484786	7.8401062832	9.8331	1	5	1	6.6898074569	7.7260534511
NEP	8.3	8.4	2.7	5.3	2.076543196	4.596457148	5.762911	5.4781666657	6.1878339181	3.2066666667	5.518486068	8.5	9.5313	7.5063293702	8.919404224	9.8887	1	9.3439322388	1	1	6.9327102576	8.3	8.9	2.7	5.6520935291	1.790304315	4.596457148	5.762911	5.9420501614	3.2303325642	3.0733333333	5.518486068	8.5	9.5344	7.568099682	9.083399106	9.9112	1	9.2843192484	1	1	8.1080007314	8.4	8.8	3.1	6.0605220228	1.801401861	4.596457148	5.762911	6.0836835786	3.5123621794	3.2245968046	5.518486068	8.5	9.5344	7.6773921448	8.9950484353	9.9015	1	9.4532347061	1	1	8.6211705217	8.3	8.9	3.1	5.9701492537	1.801	4.596457148	5.762911	5.888	3.328710837	3.188793274	5.518486068	8.4989613957	9.5344	7.6866056174	8.7830517936	9.8781	1	9.4592758893	1	1	8.7784543544
NIG	6.6	4.6	1.2	2.5833333333	3.472866687	4.222699592	2.404336	6.1	1	3.6766666667	6.368	3.535	9.2975	3.1828870803	8.6935861435	9.863	1	8.9918836574	1	3.6059494017	9.6708548985	6.8	4.2	1	2.843883792	3.577404789	4.222699592	2.628389	6.2	1	3.6266666667	6.368	3.535	9.2975	3.0438882689	8.628000613	9.8588	1	8.9918836574	1	2.4907530463	9.7255685754	8	4.8	1	2.2467889908	3.635993172	4.222699592	2.931362	6.2	3.321482369	3.6353455994	6.368	3.535	9.2975	2.7557646361	8.6028993918	9.8541	1	8.9918836574	1	1.7728440997	9.6513286477	8.4	4.9	1	4.1388888889	3.636	4.222699592	3.386967	6.2	7.1892373343	3.6191193878	6.368	3.5346589288	9.2975	1.5030047474	8.581210524	9.8573	1	8.9918836574	1	1.636541368	9.5651811069
PRK	6.4	10	7.87	6.4666666667	7.161	4.411298194	5.94982	6.5	6.0653065971	2.0533333333	3.906	1	8.878	7.7945210567	1.0164294848	6.8912	1	5	1.2838515322	2.3692775868	9.0523818122	6.6	10	5.9	6.5548225887	7.104	4.411298194	5.94982	6.6	6.4403642108	1.9866666667	3.906	1	8.878	7.9303826486	1	6.8603	1	5	1.2838515322	3.3621649371	9.0523818122	6.7	10	5.9	6.540129935	7.213	4.411298194	5.94982	6.7	6.4403642108	1.9825712116	3.906	1	8.878	8.134337794	1.1234322253	7.1416	1	5	1.2838515322	3.3621649371	9.0523818122	6.5	9.8	8	6.514397267	7.213	4.411298194	5.94982	6.7	6.4403642108	1.7957233786	3.906	1	8.878	8.1513259445	1.1969616737	7.4126	1	5	1.2838515322	3.3621649371	9.0523818122
RWA	6.3	7.3	4.1	3.05	3.896404306	4.610680628	5.385859	6.5	8.7809543092	3.65	4.77	4.995	9.8421	7.4426365187	8.6935861435	9.863	1	8.264152592	1	1	9.2410820148	6.7	6.5	2.3	3.461827957	3.837753621	4.610680628	6.055296	6.6	2.4414328315	3.9433333333	4.77	4.995	9.8421	7.4786677504	8.628000613	9.8588	1	8.3121883591	1	1	9.4742243548	6.6	6.5	5.4	4.0354454685	3.996770987	4.610680628	6.358695	6.7	2.9793809016	4.1541936364	4.77	4.995	9.8421	6.8854216471	8.6028993918	9.8541	1	8.3716729654	1	1	9.3969850942	6.8	6.5	5.5	3.9667908132	3.997	4.610680628	6.835631	6.8	1.0860910882	4.5003209083	4.77	4.9932455793	9.8421	7.7959445333	8.581210524	9.8573	1	8.1622616218	1	1	9.3888539551
SLE	5	5.7	3.9	1.4333333333	4.474102455	4.898159422	4.67	6.1	1	3.34	6.368	2.15	9.96917	6.4450953623	8.6935861435	9.863	1	7.188689749	1	3.6059494017	1	4.9	5.3	1.1	1.6193495935	4.644267527	4.898159422	4.67	6.2	1	3.3766666667	6.368	2.15	9.96917	6.4333333333	8.628000613	9.8588	1	7.1482840426	1	2.4907530463	6.0501081345	6.5	4.9	1.3	2.2006504065	4.735096468	4.898159422	4.67	6.2	4.3071541702	3.4673888503	6.368	2.15	9.96917	6.5632442446	8.6028993918	9.8541	1	4.7642656721	1	1.7728440997	3.425904654	6.5	5.5	1.3	2.6528384279	4.735	4.898159422	4.67	6.2	4.3604928632	3.6720634837	6.368	2.1486880238	9.96917	6.4265929041	8.581210524	9.8573	3.7978350501	7.6320447835	1	1.636541368	4.6214889567
TAN	5.6	7.3	4.6	3.4	5.027016217	8.5	5.13	7.0378243688	5.3259180101	4.03	6.374879115	10	9.4615	6.1541520708	8.9767547625	9.8675	1	8.7992835676	1	1	3.9261585321	5.6	5.5	3.3	3.779342723	5.02202156	8.5	5.36	7.0683300284	6.2500226828	4.3633333333	6.374879115	10	9.4615	5.9911301484	8.9113274348	9.8588	1	8.3872468381	1	1	8.7057881116	6.6	5.4	2.4	4.1993293092	5.02202156	8.5	5.66	6.8293367904	6.5641127562	4.4288775486	6.374879115	10	9.4615	6.1178018031	8.9438758461	9.8628	1	8.6467701564	1	1	8.2548630056	6.6	5.3	1	4.3989071038	5.022	8.5	5.66	6.904	5.4881163609	4.3262027068	6.374879115	10	9.4615	6.3006621939	8.9535319173	9.8667	1	8.7567154382	1.10613082	1	7.7164352108
TJK	3.9	5.8	5.3	5.7833333333	4.191667456	4.508582776	7.162136	6.5783410407	7.1892373343	2.71	3.804318971	2.07	2.516	8.0479023489	6.2342244422	9.6374	1	1	1.0322231576	3.0119421191	8.6840170365	4.4	6.7	9.2	5.8940060698	4.220179917	4.508582776	7.142363	6.5406929543	7.1892373343	2.9633333333	3.804318971	2.07	2.516	7.874127062	5.9489724534	9.6104	1	8.0827323035	1.186291051	7.945336025	9.0617872902	7	7	9.4	5.8940060698	4.173903694	4.508582776	7.212493	6.5979353973	6.830071165	2.9912192558	3.804318971	2.07	2.516	7.7300096119	5.498843616	9.5558	1	7.949385286	1.2980920279	8.0251879796	8.6020696081	7.4	6.4	9.4	6.2669683258	4.174	4.508582776	7.17552	6.526	6.9767632607	2.7993188965	3.804318971	2.0684147072	2.516	7.6886921843	5.904348915	9.6029	1	2.7537536117	1.4468461364	8.0251879796	8.6792673036
TOG	7.4	5.1	3.4	4.1	3.739463568	4.419754827	6.262123	6.1	1.8824706564	3.2033333333	6.996373495	5.52	9.885	6.6018593443	8.4349310953	9.8194	1	1.3070202559	1	3.6059494017	1.0280298603	7.6	5.9	1.2	4.2032407407	3.798544012	4.419754827	6.59861	6.2	1.7204486382	2.98	6.996373495	5.52	9.885	6.9669328947	8.6106767067	9.8381	1	1.3070202559	1	2.4907530463	1.1733353707	7	6	1.2	4.732349537	4.116745267	4.419754827	6.27	6.2	3.279152789	3.1693953916	6.996373495	5.52	9.885	7.1678201699	8.3435146883	9.8092	1	1.3070202559	1	1.7728440997	8.9173350509	7	6.1	1.3	5.2583932854	4.117	4.419754827	6.27	6.2	6.8386140921	3.2254151729	6.996373495	5.5220741306	9.885	6.991843124	8.297848761	9.8052	1	1.3070202559	1	1.636541368	9.0007801383
UGA	8.1	5.6	4.1	3.7833333333	4.881781724	3.950387729	6.82095	6.7968839418	3.5345468196	3.65	4.77	5.13	9.95191	4.7562839401	8.6935861435	9.863	3.0087764938	8.6980655282	1	8.1873075308	2.3484277233	8.1	6.4	3.3	4.3342050209	4.800082144	3.950387729	6.480461	6.9811960455	2.9819727943	3.8266666667	4.77	5.13	9.95191	4.7333333333	8.628000613	9.8588	4.3896928722	8.1150047714	1	8.1873075308	9.4270201614	7.9	6.7	4.8	4.5128661088	4.933668318	3.950387729	6.754853	7.1687147464	4.2251156426	3.9235111106	4.77	5.13	9.95191	4.8161451731	8.6028993918	9.8541	3.2000558046	8.7639279541	1	6.5704683235	9.3936633934	7.8	7.2	3.4	3.8562217924	4.934	3.950387729	6.85	7.22	3.3621649371	3.8117548006	4.77	5.1303671796	9.95191	4.9705311609	8.581210524	9.8573	3.3568705234	8.4416017177	1	6.5704683235	9.0983595891
ZIM	5.6	8.3	5.7	2.2666666667	5.236567573	7.193411975	5.7025544563	6.460577092	1.7377394345	1.9866666667	3.636452168	10	7.898	6.8047300898	6.7244357719	9.1761	1	1.4146302812	1	1	5.0246476718	5.3	8.1	4.6	2.7566666667	5.245640229	7.193411975	5.701482008	6.4854665095	1.7377394345	1.84	3.636452168	10	7.898	7.083172757	6.6879875997	9.2111	1	1.4146302812	1	1	1	7	8.2	4.4	2.8546666667	5.245640229	7.193411975	5.7	6.5742430175	1.6714578407	1.6660274392	3.636452168	10	7.898	6.8759198915	7.0188687343	9.3639	1	1.4146302812	1	1	5.4302875309	7	8	4	3.5498544396	5.246	7.193411975	5.71	6.607	1.6696016967	1.8362324121	3.636452168	10	7.898	6.9428787089	6.8819806504	9.2782	1	1.4146302812	1	1	2.5671321359
ARM	6.6	9.2	8.4	6.8333333333	4.152457516	5.104475752	7.062153	6.6505986873	4.9658530379	4.08	3.41005049	3.995	7.769	7.3807204353	1	8.6557	1	8.9927152361	2.4909344421	1	9.657586814	7.6	9.8	9.1	6.918767507	4.456600258	5.104475752	7.309364	6.67739806	7.0468808972	4.38	3.41005049	3.995	6.361	6.9448216965	1	8.6505	1	9.1533197573	3.2112771638	1	9.7051728217	7.8	9.6	9	7.1323529412	4.602955704	5.104475752	7.510412	6.6688731609	7.9409231754	4.5639628602	3.41005049	3.995	6.361	6.5067265678	1	8.2927	1	9.0799907554	3.0470580123	1.5412366182	8.8322713709	7.9	9.8	9	6.874943156	4.603	5.104475752	7.679023	6.654	7.945336025	4.3857932433	3.41005049	3.9957985942	6.361	6.2671273082	1	8.6936	1	7.9790206283	3.2400588499	1.4956861922	8.6989662533
BHU	6.7	6.2	7	5.4833333333	5.466852294	4.280072892	5.12	5.7	1.8824706564	5.4366666667	5.518486068	10	9.95668	1	5.3282690728	9.6452	1	9.5495973314	2.2898115491	7.945336025	1.0609404545	6.7	8.1	5.2	5.7749081365	5.644227211	4.280072892	5.623575	6	1.7204486382	5.1766666667	5.518486068	10	9.95668	1	5.3958453121	9.6442	1	9.7353532394	2.8239256946	6.9073433064	3.2877704823	6.7	9.2	6.5	5.8443307087	5.644227211	4.280072892	6.023504	6.1	2.8520545761	5.1685477626	5.518486068	10	9.95668	1	5.2866166835	9.628	1	9.6852462781	3.0934606698	6.7032004604	2.5274990204	6.7	9.6	4.4	5.9308510638	5.644	4.280072892	6.555197	6.3	3.072787386	5.1970730524	5.518486068	10	9.95668	1	4.7631306057	9.5737	1	9.6730006759	3.5808624929	6.7032004604	1.2666081499
BOL	7.9	8.5	4.5	5.7333333333	5.894105777	8.344258105	8.63	6.3353740772	1.3398867467	4.0933333333	5.626171354	9.255	9.96744	2.5151120038	1.8518728972	8.9665	1	1.5219921736	2.3624653747	5.8274824682	5.7179580427	7.7	8.6	4.3	5.9745435576	5.894105777	8.344258105	8.63	6.667146125	1	3.5233333333	5.626171354	9.255	9.96744	2.5750357129	1.5451098199	8.8951	1	5.2576319912	2.5648669238	5.9452055931	8.4617656055	7.3	8.6	2.5	5.9887323944	5.894105777	8.344258105	8.12	6.7509101749	1	3.5187428667	5.626171354	9.255	9.96744	2.5281110641	2.1110862823	8.7358	1	3.9568013289	2.7522613957	5.9452055931	8.3450182216	7.3	8.8	2.7	6.4369576314	5.894	8.344258105	8.12	6.862	1	3.8994909512	5.626171354	9.2535632742	9.96744	2.46671676	2.692682595	8.584	1	8.089048498	2.9483703559	5.7694981038	8.8652705435
CGO	6.3	4.6	1	4.3833333333	2.947169877	4.904120102	6.116469	5.7	1.8824706564	2.8066666667	2.700072735	4.84	9.99945	7.089138317	6.4149857877	9.7669	1	1	2.3090986985	1.8086579262	1	6.7	7.1	2	4.7182075472	3.210434712	4.904120102	6.116469	5.8	1.7204486382	2.74	2.700072735	4.84	9.99945	6.9415917249	6.1884720555	9.7252	1	1	2.403685153	2.1653566732	2.9392101732	8.5	7.1	3	4.4706918239	2.822044742	4.904120102	6.116469	6.1	2.6802723871	2.793488341	2.700072735	4.84	9.99945	6.9644602382	5.980247631	9.6539	1	1	2.6160216693	2.417140169	9.3710485909	8.7	7.1	1.8	4.7512332629	2.822	4.904120102	6.116469	6	2.644772613	2.9762474413	2.700072735	4.8410194857	9.99945	6.8002727101	5.4231570437	9.5892	1	1	2.8474855241	2.417140169	9.4418177496
CIV	8.6	8.4	4	3.25	4.053920592	5.086809682	3.92	5.690901413	2.9819727943	2.33	7.105438827	10	9.8263	6.865027305	7.5734824969	9.6756	1	4.8023520074	1.1471316856	3.6059494017	1.1032920353	8.7	8.1	2.4	3.4610042735	4.318926353	5.086809682	3.92	5.690901413	2.9819727943	2.2133333333	7.105438827	10	9.8263	7.067119526	7.8863070115	9.6814	1	3.4216584461	1.1714365598	2.4907530463	1.9042307178	8.6	8	2.3	4.7410968661	4.528318225	5.086809682	3.92	5.690901413	2.1653566732	2.2819243978	7.105438827	10	9.8263	6.816676863	7.5549004384	9.6595	1	5.2123942159	1.2054827019	1.7728440997	3.2357615504	8.6	8	2.4	4.7080961417	4.528	5.086809682	3.92	5.773	3.790830381	2.5770882855	7.105438827	10	9.8263	6.6846885642	7.717312754	9.7057	1	7.5780824045	1.1531904579	1.636541368	1
CMR	7.5	6.3	4.8	3.5833333333	2.960522513	5.286321098	5.352495	5.8654587196	3.2627979462	3.2166666667	5.770185633	4.5	9.9664	6.7362792012	8.4505248339	9.833	1	6.3503972568	1.3781740582	6.4403641494	9.6676452249	7.4	7	5.1	3.6526386106	3.194016214	5.286321098	5.182229	6.0166069716	3.2627979462	3.3566666667	5.770185633	4.5	9.9664	6.7252342205	8.2957805787	9.8267	1	7.5483325861	1.4644377448	7.4826356044	9.8422694253	7.9	7.4	4.7	3.7496659987	3.3615483	5.286321098	5.889291	6.1099613478	3.5730459036	3.3641786064	5.770185633	4.5	9.9664	6.7045665008	7.2378219526	9.7729	1	7.5483325861	1.4925911808	7.4826356044	9.7755883445	7.8	7.7	4.9	4.2871485944	3.362	5.286321098	6.353616	6.073	5.5432728473	3.2455275279	5.770185633	4.5005101405	9.9664	6.7238148352	6.745993743	9.7434	1	7.5483325861	1.5614915072	7.4826356044	9.7558255188
EGY	10	9.8	6.8	6.5	7.433206733	6.237190955	7.367361	5.7856683168	7.0468808972	4.0733333333	4.212979584	3.04	1	6.6573266654	1	7.9433	1.6409284748	6.0956975175	2.9347943493	3.1765162995	1	10	9.8	6.6	6.7113180516	8.342061139	6.237190955	7.2860933333	5.8324831556	7.0468808972	3.8433333333	4.212979584	3.04	1	6.4379474504	1	7.8716	1.2690550695	7.9989653407	3.297788615	3.9831983137	2.5874019741	10	9.9	9.4	6.5422636103	8.466879281	6.237190955	7.2048256667	5.8989097031	7.0468808972	3.9439612354	4.212979584	3.04	1	6.250834037	1	7.7618	2.4597244706	6.9650736233	3.5809505659	3.8585254125	2.1629792378	10	9.9	9.5	6.7359187442	8.467	6.237190955	7.123558	5.933	7.6337949434	3.8703262893	4.212979584	3.0418300082	1	6.3195101281	1	7.8107	4.269818552	6.9913990927	3.7731909281	3.541977167	1.7746779136
ESA	8.9	8.2	6.3	6.6166666667	5.980626497	4.978634234	7.265621	6.8365933632	1	4.8233333333	5.190434872	1	9.4546	5.8811166051	5.5177051532	8.9883	1	7.211882761	3.699949807	4.8529418739	8.341509643	8.9	8.4	8.6	6.7855492692	6.093244822	4.978634234	7.156737	6.8753568057	1	4.75	5.190434872	1	9.4546	5.6459153584	5.5702310214	8.9528	1.1688640361	6.0987698952	4.0621504548	5.3094332289	8.325984936	9.1	8.7	8.7	6.7011079679	6.093244822	4.978634234	7.058794	6.5959969828	1	4.8194970035	5.190434872	1	9.4546	5.1352264956	5.5386441067	8.9864	1.0276843173	5.070513983	4.0606397166	4.4516957588	6.7817412576	9.1	8.8	8.7	6.8905297703	6.093	4.978634234	7.089158	6.567	2.2090997796	4.7977851559	5.190434872	1	9.4546	5.2703439626	5.3939150337	9.0524	1.0333539796	6.5993270715	4.2050279481	5.5838867997	6.6567776024
GEO	7.3	7.6	8.3	7.4	5.620439588	4.023913886	7.45862	6.7001602725	4.7236655274	3.3566666667	5.640935025	1.695	9.7137	7.1977399356	3.1511491509	9.0067	1	8.8519060767	2.3513562117	2.5157855306	9.2021484835	9.1	9.9	9.3	7.4761229314	5.614049904	4.023913886	7.499047	6.6542378992	3.3621649371	4.4566666667	5.640935025	1.695	9.7137	6.7062014372	2.7843861413	8.9119	1	6.9516964017	2.8920146129	2.6503324713	9.1868194326	8.8	9.8	9.5	7.5522458629	5.614049904	4.023913886	7.488665	6.5984087897	3.1332123157	4.6498823077	5.640935025	1.695	9.7137	6.5535045741	3.3545655119	8.9131	1	2.3196898418	2.9369943745	1.8544443196	8.335075064	9.4	9.8	9.5	7.3772893773	5.614	4.023913886	7.19	6.624	3.2627979462	4.8821546952	5.640935025	1.6945672391	9.7137	6.8166982988	3.8817127301	8.8905	1	5.4201692429	3.2912488202	2.2476497011	8.7930061313
GHA	8.7	7.9	5.8	4.9666666667	3.51744224	7.783172508	4.985548	6.6528460591	3.8289288598	4.8366666667	5.943392666	6.98	9.8154	5.1490242553	7.4579960712	9.7022	1	8.6849063904	1.4246695876	3.328710837	9.2592152142	8.9	8	1	5.1794871795	3.679147967	7.783172508	5.6133	6.6787772805	3.8289288598	5.1433333333	5.943392666	6.98	9.8154	4.9670247367	6.8351079708	9.6467	1	6.4862402521	1.5967816351	6.9767633272	8.8140642547	10	8.2	1.3	4.6970940171	4.062419586	7.783172508	6.398098	6.7816540061	2.8350477419	5.1292692233	5.943392666	6.98	9.8154	5.2220047353	7.1010496262	9.684	1	5.0160901272	1.7436020837	1.7728440997	7.4747278222	10	8.6	1.4	5.1471375067	4.062	7.783172508	6.46	6.811	3.1348618088	5.2107472449	5.943392666	6.9785538781	9.8154	4.8988905729	7.0258109548	9.6111	1	8.3286009093	2.0412812248	1.636541368	7.8506405325
GUA	7.6	9.5	6.1	6.2333333333	5.345520801	5.988068784	6.41	6.0666574043	1	3.75	4.897781157	10	9.7365	5.5668926926	5.6506917198	9.1743	1	7.6483234301	2.635948577	7.3344696322	9.4628859688	7.8	9.6	8.4	6.4135748792	5.345520801	5.988068784	6.774057	6.0720108584	1	3.78	4.897781157	10	9.7365	5.4332999672	5.7045585355	9.1924	1	7.9504703351	2.9198778676	8.3527021539	9.5219086145	7.9	9.4	8.1	6.4135748792	5.345520801	5.988068784	7.07	6.2378408511	1	3.909044495	4.897781157	10	9.7365	5.5422536533	5.9694476265	9.2583	1	6.691171628	2.9701967955	8.3527021539	9.3551540457	7.8	9.2	7.8	6.7379933428	5.346	5.988068784	7.07	6.229	1	3.7982907769	4.897781157	10	9.7365	5.632650463	6.7041865699	9.2837	1	6.9112678316	3.0874141514	6.6365025014	9.360810182
GUY	9.1	8.3	7	5.8666666667	6.735403375	4.279484128	7.566873	7.1084426477	2.8083162178	4.59	4.492	2.38	9.93195	3.0514911109	1.3374986093	5.3386	1	6.174759118	3.157710474	3.0727873274	1	9.2	9.3	8.1	6.3295597484	6.591621535	4.279484128	7.78	7.1084426477	5.4881163609	4.33	4.492	2.38	9.93195	3.2448021432	1.354813294	5.3362	1	4.7607205711	3.6171723366	3.328710837	4.2465209409	9.3	9.4	8.1	6.3729559748	6.591621535	4.279484128	7.196705	7.0897124004	1	4.2388340566	4.492	2.38	9.93195	3.9016565403	1.3133634906	5.1493	1	2.6179921849	3.837323479	3.328710837	4.5666305647	9.2	9.4	8.4	5.616398243	6.592	4.279484128	6.919774	7.084	1	4.2716623138	4.492	2.382337086	9.93195	3.8974984126	1.2823643699	5.0414	1	6.0438256031	4.170171256	3.328710837	4.2105272636
HON	7.8	9	6.8	6.4	5.47259221	4.974678157	7.207665	6.4826959707	1	3.9766666667	4.260215698	6.93	9.8755	5.477933589	4.4360513222	8.9908	1	9.2760564757	2.305301501	6.7032004604	8.9449143349	7.7	8.4	6.6	6.6270165209	5.406271164	4.974678157	7.207665	6.9601358578	1	4.0133333333	4.260215698	6.93	9.8755	5.1965712092	4.9498762465	9.0978	1	9.0857610989	2.5897024688	6.7732775142	9.5333528588	8.8	8.6	7.1	6.910787172	5.406271164	4.974678157	7.207665	6.9273048311	1	3.9306722923	4.260215698	6.93	9.8755	5.535999879	4.569907211	8.9327	1	8.8995734219	2.6050929266	6.4403642108	9.2529402711	8.8	8.7	7.7	7.0717592593	5.406	4.974678157	7.207665	6.945	1	3.7937707679	4.260215698	6.9308933656	9.8755	5.8122434037	4.8599632927	9.0402	1.3037601105	8.4090847685	2.7225744743	6.4403642108	9.1601860175
INA	9.4	7.8	5.2	6.35	5.223669459	6.219592318	6.561783	6.5409527448	7.1892373343	3.35	3.89265443	3.195	9.4388	7.1161488704	3.4699544119	8.5229	1	8.1875188016	2.0984766445	3.2497728221	8.3525120998	9.4	8	5.2	6.6464285714	5.432074946	6.219592318	6.657355	6.473227429	7.1892373343	3.8533333333	3.89265443	3.195	9.4388	7.0754393749	3.442649739	8.4612	1	8.4359052782	2.376347816	4.02121901	8.8397414404	8.7	8	5.2	6.6605442177	5.432074946	6.219592318	7.10537	6.6149353494	5.9394548381	3.9981815556	3.89265443	3.21	9.4388	6.9851065036	3.6093372009	8.4484	1	8.1771523444	2.6000378565	4.5520837401	9.1999421959	8.7	8.2	5.4	6.7848350566	5.432	6.219592318	7.556312	6.594	6.3128364551	4.0434165477	3.89265443	3.2108612986	9.4388	6.992867372	3.4470860721	8.2868	1	9.1733227663	2.8864254655	5.1892288016	9.3164749878
IND	7.9	8.6	3	5.5833333333	1	7.893746215	5.900371	6.0113929147	7.5578374146	4.3866666667	3.893750091	2.41	6.806	8.1581927881	3.1225450126	8.9358	1	9.290409667	1.5214389213	6.4380026957	1.5684182241	8	8.9	2.8	5.838500265	1	7.893746215	6.089959	6.0601208048	6.6365025014	4.63	3.893750091	2.41	6.806	8.2230278991	3.0316469898	8.868	1.3353231791	9.3612133939	1.8362869114	6.4403641494	1.9695080163	7.9	8.8	3.1	5.6967408585	1	7.893746215	6.456036	6.154633809	6.610743999	4.6571022303	3.893750091	2.41	6.612	8.1207861137	2.8187163882	8.7381	1.3210449192	9.1131036657	2.0496494023	6.4403641494	2.7096172115	8.1	9.2	3.4	6.101924077	1	7.893746215	6.456036	6.19	6.6365025014	4.3780369081	3.893750091	2.4111603482	6.612	8.145301132	2.627791962	8.6116	1.0269154897	9.2832784545	2.3782728509	3.7531109885	2.9409558571
LAO	7.8	4.3	2.4	4.5	3.863418853	8.505482769	5.923768	6.8	5.9452054797	2.6266666667	4.87	8.31	9.8723	5.9884265632	5.3282690728	9.6452	1	4.3109546379	1.1891657933	8.6935823747	2.4080168224	8.1	6	4.8	4.81637049	3.977157541	8.505482769	5.987583	6.8	6.8386140921	3.1633333333	4.87	8.31	9.8723	6.0087869976	5.3958453121	9.6442	1	6.3098859428	1.3936256351	8.6935823747	4.640969695	7.7	5.7	5.3	4.8922994076	3.950587215	8.505482769	6.094667	6.8	7.5598803494	3.0203402958	4.87	8.31	9.8723	6.0695534526	5.2866166835	9.628	1	4.3455831133	1.5781915049	7.7880078307	4.1451927036	7.8	6.7	6.3	5.803652968	3.951	8.505482769	6.295739	6.8	6.3128364551	3.0662200536	4.87	8.3089937076	9.8723	5.9197387814	4.7631306057	9.5737	1	6.6596121254	1.7983020764	7.7880078307	5.2286676017
MAR	9.3	8	6.1	6.7	6.857286242	6.288058139	5.822638	5.8269395529	4.8675225596	4.6233333333	3.157375502	1	5.655	6.6747329854	1	8.6805	1	9.3927210406	2.3194678702	3.309460195	4.7558673804	9.4	8.3	7.2	6.930651341	6.932555112	6.288058139	5.900976	5.7574461615	2.6713530197	4.43	3.157375502	1	5.655	6.911145807	1	8.6797	1	9.4005370597	2.607226348	3.7549880132	7.125880154	10	8.1	6.9	6.9450670498	6.932555112	6.288058139	6.04	5.7667485326	4.5857582275	4.4450827914	3.157375502	1	5.655	7.0952437898	1	8.6109	1	9.3001178017	2.8627454188	4.0252422403	6.5613456712	10	8.3	7	7.0873239437	6.933	6.288058139	6.04	5.804	4.4932896412	4.3621768423	3.157375502	1	5.655	6.8127386467	1	8.5618	1	9.3480309009	3.078845993	4.0656965974	5.905191537
MDA	8.9	9.2	6.8	6.6333333333	6.368897148	4.882588907	7.164475	7.1284078263	5.5989836657	3.6833333333	4.506827401	1	8.356	7.4980119755	1	8.1108	1.048771591	8.9756045699	1.6294252543	4.8190899009	8.9875648205	8.9	9	7.9	6.7801178203	6.380005505	4.882588907	7.186483	7.2437017529	6.9073433064	3.9733333333	4.506827401	1	8.356	6.5733721164	1	8.1848	1.1099812612	9.2339025777	1.8388693313	6.0049557881	9.5534460296	9.4	9	7.9	6.7067255768	6.380005505	4.882588907	7.052908	7.1600713443	5.3774523581	4.0964004445	4.506827401	1	8.356	8.024562281	1	8.2162	1.1116674591	9.1166055652	1.9155255242	5.2729242404	9.2431016115	10	9.6	8.5	6.907978463	6.38	4.882588907	6.899782	7.083	5.4881163609	4.2123608468	4.506827401	1	8.356	5.5808844175	1	8.2842	2.7724609034	8.7381610757	2.2032267	5.1170857779	9.3905465942
MGL	7.2	6.2	5.9	5.9333333333	5.188938828	4.501221983	7.821299	6.8213373747	2.644772613	5.09	1.302826008	6.695	9.8563	1	1	6.2778	1	9.2422572518	1.9150849421	7.1993093153	1	7.3	7.2	5	6.1899487179	5.191289331	4.501221983	7.844304	7.049300831	6.9073433064	4.5766666667	1.302826008	6.695	9.8531	1	1	5.9416	1	9.0851163288	2.2971346173	7.5578374146	6.6942970549	7.4	7.6	5	6.1614358974	5.191289331	4.501221983	8.24107	7.1943197009	5.9104562259	4.486625617	1.302826008	6.695	9.8531	1	1	5.8007	1	7.8538294499	2.4349310862	7.1892373343	6.6942970549	7.3	8.2	5.1	6.4485842027	5.191	4.501221983	8.671394	7.14	6.6365025014	4.4930618654	1.302826008	6.6930941099	9.8531	1	1	5.6921	1	1.2015454843	2.9255741826	7.4081822068	6.6942970549
