
                    Contribuciones de las filas segun el primer cubo en el compromiso

Axis	1	2	3	4	5	6	7
"FRA"	955	8	19	9	0	0	8
"GAB"	706	6	26	87	92	39	45
"GMB"	565	28	63	230	30	13	72
"GEO"	283	122	540	0	4	45	6
"DEU"	886	35	3	55	0	9	11
"GHA"	710	101	99	34	5	4	47
"GRC"	911	36	37	3	5	7	1
"GTM"	366	21	24	397	29	93	69
"GIN"	913	15	7	9	3	1	52
"GNB"	938	47	1	6	3	4	1
"GUY"	9	204	504	91	11	0	182
"HTI"	768	101	51	4	25	26	26
"HND"	97	36	157	402	19	90	200
"HUN"	792	1	1	141	2	31	32
"ISL"	715	0	261	7	0	15	2
"IND"	301	0	35	224	3	13	424
"IDN"	100	68	1	481	4	7	339
"IRN"	49	161	642	132	6	1	10
"IRQ"	38	811	4	108	12	21	6
"IRL"	530	4	417	3	2	38	7
"ISR"	445	1	10	352	3	105	83
"ITA"	967	5	22	4	0	2	0
"JAM"	231	259	398	72	4	1	35
"JPN"	943	17	3	1	6	15	16
"JOR"	130	533	289	15	0	32	1
"KAZ"	416	344	9	157	67	3	4
"KEN"	891	26	12	22	3	15	32
"PRK"	4	74	348	361	60	145	8
"KOR"	947	6	0	22	11	3	11
"KWT"	153	433	293	61	4	44	11
"KGZ"	223	405	77	247	33	14	0
"LAO"	663	64	0	242	8	22	1
"LVA"	608	165	111	72	21	10	13
"LBN"	281	360	198	1	58	0	103
"LSO"	506	415	47	0	7	16	10
"LBR"	844	7	75	16	1	50	9
"LBY"	373	431	6	1	115	61	12
"LTU"	630	162	113	53	26	16	0
"LUX"	659	7	246	2	53	22	11
"MKD"	360	70	414	102	9	36	9
"MDG"	835	7	122	18	10	5	3
"MWI"	833	0	127	1	6	9	25
"MYS"	170	0	15	613	57	1	144
"MLI"	647	35	219	1	8	42	46
"MLT"	359	198	36	279	41	3	83
"MRT"	801	37	53	0	22	76	11
"MUS"	841	7	8	24	42	70	8
"MEX"	20	35	116	732	1	17	79
"MDA"	172	7	304	172	60	191	94
"MNG"	217	3	55	673	43	8	1
"MNE"	708	22	26	145	12	20	67
"MAR"	24	38	401	101	4	405	28
"MOZ"	858	40	68	1	1	1	30
"MMR"	227	0	626	12	14	17	104
"NAM"	412	462	0	6	75	35	11
"NPL"	363	2	34	146	26	5	425
"NLD"	896	37	30	29	0	0	7
"NZL"	790	104	48	21	1	14	23
"NIC"	338	168	272	48	27	49	98
"NER"	732	27	119	6	2	62	53
"NGA"	899	3	20	11	46	16	5
"NOR"	775	1	141	63	1	1	19
"OMN"	216	458	239	27	49	2	9
"PAK"	256	320	3	137	57	34	193
"PAN"	13	205	25	439	76	144	99
"PNG"	797	17	13	36	49	87	1
"PRY"	22	34	321	371	8	43	201
"PER"	27	258	179	249	1	97	190
"PHL"	85	33	214	0	39	545	84
"POL"	853	10	14	71	4	26	22
"PRT"	916	75	7	0	0	0	2
"QAT"	3	37	56	672	112	3	117
"ROU"	417	21	92	249	38	49	134
"RUS"	126	106	646	9	95	1	18
"RWA"	621	5	9	19	77	58	210
"SAU"	191	667	80	44	2	8	8
"SEN"	770	28	116	23	25	32	6
"SRB"	545	46	91	189	7	51	71
"SLE"	827	4	69	77	0	15	7
"SGP"	198	0	266	310	8	140	78
"SVK"	716	19	0	148	0	62	54
"SVN"	738	22	31	146	3	6	54
"ZAF"	63	506	6	168	26	1	231
"ESP"	767	12	27	73	1	86	33
"LKA"	255	56	232	336	72	21	28
"SDN"	740	56	7	1	81	43	72
"SWE"	827	5	91	54	1	4	18
"CHE"	863	15	90	0	20	9	3
"SYR"	3	811	97	57	4	22	5
"TWN"	970	6	3	12	1	7	1
"TJK"	20	570	0	199	29	19	163
"TZA"	834	1	140	19	0	4	2
"THA"	552	1	408	13	11	11	4
"TGO"	935	7	37	0	14	3	4
"TTO"	367	49	319	4	101	84	77
"TUN"	760	69	117	23	6	15	11
"TUR"	577	32	108	239	4	2	36
"TKM"	346	33	181	0	290	147	2
"UGA"	832	7	114	0	2	46	0
"UKR"	506	38	72	282	53	12	38
"ARE"	78	432	302	103	82	3	1
"GBR"	928	33	27	0	8	4	0
"USA"	480	195	1	180	3	18	124
"URY"	508	206	90	125	0	1	70
"UZB"	100	633	185	19	3	3	57
"VEN"	16	3	257	361	43	130	190
"VNM"	43	28	417	115	84	13	300
"YEM"	632	290	55	13	1	9	1
"ZMB"	694	15	18	7	78	35	153
"ZWE"	756	26	149	10	20	0	40
"ALB"	498	18	114	181	8	82	98
"DZA"	105	651	51	43	137	10	2
"AGO"	765	28	60	1	25	1	120
"ARG"	253	59	159	212	29	133	156
"ARM"	475	35	138	231	0	38	83
"AUS"	731	6	197	21	2	32	11
"AUT"	900	21	24	36	1	9	10
"AZE"	50	506	21	212	43	42	124
"BGD"	134	126	18	346	9	92	274
"BLR"	436	68	128	251	83	0	35
"BEL"	868	0	82	40	0	0	9
"BEN"	836	3	118	8	0	1	33
"BTN"	287	30	131	10	0	35	506
"BOL"	345	264	57	68	2	232	32
"BIH"	8	68	110	123	28	18	644
"BWA"	178	256	8	105	243	43	166
"BRA"	69	267	140	374	2	36	111
"BGR"	481	165	305	2	1	44	3
"BFA"	798	2	120	0	29	6	46
"BDI"	391	287	172	43	59	7	41
"KHM"	543	11	7	242	45	33	118
"CMR"	919	32	24	2	6	10	7
"CAN"	880	23	89	1	7	0	0
"CAF"	895	31	33	2	18	8	12
"TCD"	974	1	13	0	3	0	7
"CHL"	322	183	3	335	16	8	132
"CHN"	35	256	602	79	10	0	18
"COL"	5	176	230	249	1	139	200
"COG"	918	0	27	1	7	24	23
"COD"	823	30	21	30	93	2	1
"CRI"	213	130	32	406	59	9	151
"CIV"	733	2	13	97	14	0	140
"HRV"	641	2	41	188	3	60	66
"CUB"	323	75	394	37	78	49	44
"CYP"	792	40	82	9	23	29	25
"CZE"	805	17	12	103	0	25	38
"DNK"	866	84	43	6	0	0	1
"DOM"	1	46	275	251	22	75	331
"ECU"	17	30	191	318	4	189	252
"EGY"	208	712	12	30	0	14	23
"SLV"	2	431	440	60	9	0	58
"EST"	878	76	16	18	0	11	0
"ETH"	799	25	65	95	0	1	14
"FIN"	769	19	89	103	1	2	17
"FRA"	959	22	11	4	1	0	4
"GAB"	711	10	33	107	61	33	45
"GMB"	565	26	58	268	21	5	56
"GEO"	207	173	541	1	22	46	11
"DEU"	883	43	3	52	0	10	9
"GHA"	690	116	97	41	3	2	51
"GRC"	860	34	75	2	12	15	2
"GTM"	353	26	37	396	37	80	72
"GIN"	855	28	30	16	1	2	69
"GNB"	909	55	2	24	0	7	3
"GUY"	3	195	477	99	30	5	191
"HTI"	775	103	56	4	17	17	28
"HND"	61	40	190	383	19	88	221
"HUN"	823	0	10	112	1	33	20
"ISL"	795	3	64	108	2	0	28
"IND"	324	3	16	223	4	9	421
"IDN"	102	49	0	427	48	3	371
"IRN"	42	202	618	115	1	10	12
"IRQ"	43	818	29	68	19	21	2
"IRL"	802	51	112	15	5	9	6
"ISR"	367	5	7	397	4	112	109
"ITA"	862	34	62	34	0	3	6
"JAM"	180	258	440	73	6	1	42
"JPN"	928	29	3	1	7	21	11
"JOR"	86	598	258	33	3	20	3
"KAZ"	346	423	19	157	49	0	6
"KEN"	855	39	18	28	5	23	31
"PRK"	5	83	374	337	69	131	2
"KOR"	956	4	3	19	7	2	9
"KWT"	136	435	303	66	6	42	14
"KGZ"	181	469	40	253	19	30	8
"LAO"	650	111	4	206	7	21	1
"LVA"	474	305	190	8	4	19	0
"LBN"	0	637	149	110	1	92	11
"LSO"	515	427	29	4	3	14	9
"LBR"	833	2	97	12	3	43	10
"LBY"	351	311	131	27	147	22	11
"LTU"	602	203	123	36	19	16	1
"LUX"	590	14	331	0	45	10	9
"MKD"	312	72	438	107	14	46	11
"MDG"	869	7	76	16	15	16	2
"MWI"	772	7	125	12	5	44	36
"MYS"	166	4	16	583	62	2	166
"MLI"	559	62	229	7	21	40	82
"MLT"	824	8	28	49	9	41	39
"MRT"	814	37	42	0	26	73	8
"MUS"	833	15	17	10	15	100	11
"MEX"	19	42	120	706	2	17	95
"MDA"	169	3	166	253	38	210	163
"MNG"	113	1	114	605	121	46	1
"MNE"	675	31	15	184	17	11	66
"MAR"	10	34	316	217	10	406	7
"MOZ"	850	45	71	0	3	1	31
"MMR"	197	1	644	27	7	25	100
"NAM"	468	328	1	10	109	70	14
"NPL"	185	5	11	256	65	0	478
"NLD"	872	29	50	39	0	0	9
"NZL"	770	126	48	19	2	8	26
"NIC"	259	196	292	80	20	50	103
"NER"	674	41	133	15	4	51	82
"NGA"	920	2	13	12	40	10	4
"NOR"	713	0	190	74	0	1	21
"OMN"	65	476	339	60	18	25	18
"PAK"	220	363	4	148	59	35	171
"PAN"	13	201	36	475	55	121	99
"PNG"	798	21	10	34	44	93	1
"PRY"	10	35	327	372	25	29	201
"PER"	14	242	167	294	4	91	187
"PHL"	135	28	294	11	6	409	117
"POL"	862	14	7	72	2	26	18
"PRT"	917	65	15	1	1	0	1
"QAT"	2	24	68	659	128	1	118
"ROU"	441	11	60	269	35	32	152
"RUS"	93	123	679	0	94	0	10
"RWA"	577	9	28	32	62	77	215
"SAU"	218	636	82	42	1	8	12
"SEN"	782	38	109	39	15	12	4
"SRB"	584	17	127	153	3	65	52
"SLE"	774	1	50	113	0	37	24
"SGP"	197	0	251	319	8	139	85
"SVK"	815	3	2	90	1	61	27
"SVN"	780	13	19	136	4	4	44
"ZAF"	72	468	7	210	18	2	223
"ESP"	758	82	4	71	1	42	42
"LKA"	337	69	214	240	115	14	13
"SDN"	751	40	4	2	84	51	69
"SWE"	795	4	113	64	1	5	19
"CHE"	836	8	127	0	19	6	3
"SYR"	180	635	116	2	22	44	1
"TWN"	962	16	2	12	5	2	0
"TJK"	9	632	2	242	26	11	77
"TZA"	796	0	161	34	0	3	5
"THA"	539	0	422	20	7	9	3
"TGO"	936	15	26	5	13	3	2
"TTO"	316	47	326	10	120	102	80
"TUN"	716	130	109	14	2	17	11
"TUR"	568	46	58	263	3	4	58
"TKM"	395	37	168	0	261	134	5
"UGA"	835	7	108	0	0	48	1
"UKR"	461	62	56	308	53	11	50
"ARE"	55	454	285	108	92	5	1
"GBR"	923	41	26	1	7	1	1
"USA"	574	178	0	124	1	15	108
"URY"	535	200	69	124	3	0	69
"UZB"	18	878	24	0	1	3	76
"VEN"	12	1	294	328	43	121	202
"VNM"	66	35	711	69	108	0	12
"YEM"	658	282	33	18	0	7	1
"ZMB"	706	10	20	13	72	34	145
"ZWE"	834	15	100	0	20	3	28
"ALB"	536	43	90	183	21	42	86
"DZA"	48	711	14	67	129	22	10
"AGO"	714	28	69	2	44	0	143
"ARG"	296	34	158	180	37	147	148
"ARM"	497	68	70	229	2	36	99
"AUS"	753	13	180	17	2	23	11
"AUT"	912	28	28	20	2	7	4
"AZE"	83	448	1	250	41	58	119
"BGD"	128	147	16	389	4	51	265
"BLR"	443	78	73	275	82	1	46
"BEL"	838	0	86	61	0	1	14
"BEN"	819	12	115	12	11	5	26
"BTN"	214	85	98	9	1	32	562
"BOL"	328	263	70	112	0	198	29
"BIH"	13	84	99	129	25	21	628
"BWA"	151	256	17	144	209	52	172
"BRA"	62	254	154	367	2	41	119
"BGR"	435	205	330	0	1	28	0
"BFA"	816	2	103	0	25	1	52
"BDI"	394	289	170	41	64	2	40
"KHM"	383	41	33	304	25	42	173
"CMR"	922	27	25	2	15	2	7
"CAN"	861	23	104	2	9	0	1
"CAF"	892	28	31	0	28	2	18
"TCD"	971	0	17	0	2	0	9
"CHL"	335	171	3	326	17	9	139
"CHN"	21	262	608	92	4	4	9
"COL"	4	206	232	243	0	104	211
"COG"	896	1	19	1	0	52	31
"COD"	817	29	26	31	96	1	1
"CRI"	230	176	27	316	14	57	180
"CIV"	737	2	2	113	20	0	126
"HRV"	707	43	157	43	1	41	8
"CUB"	283	62	507	65	30	6	47
"CYP"	844	14	56	0	40	37	9
"CZE"	768	12	4	133	0	37	46
"DNK"	867	54	51	27	0	1	1
"DOM"	0	62	257	267	13	37	363
"ECU"	8	32	187	329	3	171	270
"EGY"	132	816	18	18	2	0	16
"SLV"	29	364	569	2	20	4	11
"EST"	861	97	19	14	1	8	0
"ETH"	800	28	63	89	0	2	18
"FIN"	748	15	99	114	0	3	20
"FRA"	958	17	10	9	0	1	5
"GAB"	696	11	42	129	39	31	52
"GMB"	566	26	57	281	21	3	45
"GEO"	219	207	475	1	31	62	5
"DEU"	864	20	17	73	0	12	15
"GHA"	653	123	90	57	11	1	65
"GRC"	611	110	205	29	9	12	24
"GTM"	353	24	46	381	48	73	74
"GIN"	773	44	51	35	1	2	94
"GNB"	920	30	4	30	0	14	2
"GUY"	0	166	497	110	43	9	175
"HTI"	769	104	55	5	21	13	32
"HND"	53	31	240	396	25	44	212
"HUN"	839	6	31	78	1	35	10
"ISL"	791	8	55	118	3	0	25
"IND"	334	8	5	231	1	1	420
"IDN"	62	41	8	408	94	2	385
"IRN"	186	292	349	19	32	114	7
"IRQ"	57	798	63	39	22	21	0
"IRL"	819	84	34	44	5	0	14
"ISR"	372	14	6	382	4	106	116
"ITA"	788	48	73	70	0	5	17
"JAM"	155	295	418	72	13	0	48
"JPN"	917	37	4	1	8	22	11
"JOR"	65	617	258	36	5	16	3
"KAZ"	334	375	4	206	67	1	12
"KEN"	863	32	16	37	5	24	24
"PRK"	5	92	374	327	81	122	0
"KOR"	938	7	3	31	5	0	16
"KWT"	115	589	275	0	0	19	2
"KGZ"	144	579	0	226	13	15	23
"LAO"	607	150	9	166	0	60	9
"LVA"	502	265	172	21	2	36	2
"LBN"	9	636	158	125	2	60	11
"LSO"	567	381	18	7	2	12	14
"LBR"	858	0	75	14	4	33	15
"LBY"	298	145	363	57	135	2	1
"LTU"	588	219	121	32	10	28	1
"LUX"	470	6	390	55	76	3	0
"MKD"	283	80	428	116	20	59	13
"MDG"	876	7	72	15	10	17	2
"MWI"	758	3	121	24	9	63	23
"MYS"	153	6	23	573	71	5	169
"MLI"	610	90	141	9	27	26	96
"MLT"	767	16	32	43	23	73	46
"MRT"	806	47	42	2	24	73	7
"MUS"	844	30	11	8	14	88	5
"MEX"	36	60	125	661	4	14	101
"MDA"	171	23	58	323	27	193	205
"MNG"	156	4	172	484	127	56	0
"MNE"	810	2	58	85	10	11	23
"MAR"	0	90	177	435	29	266	2
"MOZ"	873	35	65	0	2	0	25
"MMR"	173	0	577	56	20	48	126
"NAM"	488	238	11	20	135	94	15
"NPL"	182	17	7	233	67	0	493
"NLD"	828	18	67	67	0	2	17
"NZL"	704	178	30	38	4	6	39
"NIC"	235	199	301	98	23	30	113
"NER"	634	48	148	22	5	43	100
"NGA"	931	1	15	13	30	8	2
"NOR"	695	0	211	73	0	0	21
"OMN"	52	495	325	62	18	31	16
"PAK"	214	410	3	137	64	32	141
"PAN"	6	210	33	478	24	138	110
"PNG"	792	27	8	32	37	102	1
"PRY"	6	22	322	384	41	27	200
"PER"	14	208	146	361	4	81	186
"PHL"	172	64	119	2	12	394	237
"POL"	854	10	3	84	1	31	17
"PRT"	806	132	49	3	0	0	9
"QAT"	2	18	80	655	110	5	130
"ROU"	412	0	39	289	21	41	197
"RUS"	88	142	618	0	132	17	4
"RWA"	546	22	19	38	61	79	235
"SAU"	190	679	70	39	1	7	14
"SEN"	701	30	176	58	22	11	2
"SRB"	596	12	124	163	7	50	48
"SLE"	753	3	50	110	1	44	39
"SGP"	406	57	103	268	11	71	85
"SVK"	771	9	0	113	2	69	36
"SVN"	797	6	9	133	3	8	43
"ZAF"	130	378	11	288	0	3	191
"ESP"	708	157	44	43	1	12	35
"LKA"	364	45	254	128	149	17	43
"SDN"	752	36	1	2	75	63	71
"SWE"	790	9	122	50	5	11	15
"CHE"	803	3	146	10	17	11	10
"SYR"	114	37	594	154	30	65	5
"TWN"	961	19	2	11	7	1	0
"TJK"	11	668	3	210	27	13	67
"TZA"	791	2	161	34	0	1	10
"THA"	600	1	362	20	8	6	3
"TGO"	874	26	27	12	42	18	1
"TTO"	285	50	309	17	125	129	85
"TUN"	678	151	131	16	1	18	6
"TUR"	402	63	12	375	2	45	100
"TKM"	372	88	87	24	253	176	0
"UGA"	846	2	110	0	1	35	7
"UKR"	448	74	48	316	59	7	47
"ARE"	65	392	349	108	83	1	0
"GBR"	901	8	45	11	11	18	6
"USA"	565	193	0	117	2	10	112
"URY"	630	163	67	81	2	1	56
"UZB"	15	885	26	2	2	0	70
"VEN"	10	0	306	326	36	102	219
"VNM"	2	31	608	3	186	20	149
"YEM"	672	279	20	21	1	6	1
"ZMB"	547	32	49	11	19	157	186
"ZWE"	896	9	35	0	18	19	24
"ALB"	604	26	42	207	27	27	67
"DZA"	28	730	6	54	144	20	17
"AGO"	704	41	64	7	45	0	138
"ARG"	278	27	178	174	39	150	155
"ARM"	494	102	85	190	2	31	97
"AUS"	751	13	184	18	3	20	12
"AUT"	908	16	53	13	3	4	3
"AZE"	128	429	4	259	41	44	96
"BGD"	113	156	9	383	8	60	270
"BLR"	457	94	46	277	75	1	49
"BEL"	860	1	45	79	2	0	14
"BEN"	801	17	109	12	24	10	27
"BTN"	147	120	57	9	15	77	575
"BOL"	327	262	78	125	1	182	23
"BIH"	22	93	96	135	27	19	608
"BWA"	149	273	12	148	169	72	178
"BRA"	54	218	193	365	3	42	125
"BGR"	445	212	325	0	13	5	1
"BFA"	834	4	86	0	21	1	54
"BDI"	379	264	217	39	56	3	41
"KHM"	352	65	33	290	17	41	203
"CMR"	926	30	22	3	12	3	4
"CAN"	855	25	107	2	11	0	1
"CAF"	884	12	48	0	39	0	16
"TCD"	975	1	16	1	1	0	7
"CHL"	350	185	2	286	7	22	148
"CHN"	12	323	538	107	0	15	5
"COL"	6	218	236	245	1	81	213
"COG"	898	4	13	2	1	48	33
"COD"	818	29	29	34	88	1	1
"CRI"	247	187	26	332	0	46	161
"CIV"	725	14	3	123	10	7	117
"HRV"	826	23	93	32	2	19	4
"CUB"	262	56	539	90	9	0	44
"CYP"	889	14	43	0	24	23	7
"CZE"	785	7	6	143	1	20	39
"DNK"	874	45	55	25	0	1	1
"DOM"	0	81	236	286	15	17	365
"ECU"	0	33	162	280	10	218	298
"EGY"	92	858	12	18	6	2	12
"SLV"	18	375	535	13	33	4	23
"EST"	843	124	7	18	1	8	1
"ETH"	788	28	70	88	0	3	23
"FIN"	741	14	96	122	1	4	21
"FRA"	950	18	14	15	0	0	4
"GAB"	706	5	25	134	34	33	63
"GMB"	589	35	44	271	18	3	41
"GEO"	339	257	352	4	10	37	1
"DEU"	840	33	15	82	0	15	14
"GHA"	659	132	71	48	15	4	71
"GRC"	579	127	243	18	8	5	19
"GTM"	359	30	54	355	52	74	76
"GIN"	768	43	56	34	1	2	96
"GNB"	917	25	4	39	0	14	0
"GUY"	0	164	476	128	53	12	166
"HTI"	763	96	62	7	25	13	35
"HND"	48	20	278	389	44	15	205
"HUN"	827	3	43	85	3	29	10
"ISL"	757	1	118	100	2	1	22
"IND"	304	9	4	238	6	2	437
"IDN"	36	25	25	441	61	19	392
"IRN"	247	400	219	10	79	44	1
"IRQ"	67	811	49	38	18	18	0
"IRL"	797	95	45	48	3	0	12
"ISR"	345	12	12	397	5	107	122
"ITA"	789	44	64	72	0	9	21
"JAM"	141	296	429	76	13	2	43
"JPN"	901	49	1	2	10	27	10
"JOR"	82	648	224	31	6	6	2
"KAZ"	336	356	17	217	58	0	15
"KEN"	851	44	23	36	4	21	22
"PRK"	1	107	391	310	73	117	1
"KOR"	933	4	1	38	4	1	18
"KWT"	76	663	247	0	3	6	4
"KGZ"	109	673	24	163	17	0	14
"LAO"	471	210	4	200	9	73	34
"LVA"	563	276	123	16	4	18	0
"LBN"	21	663	131	125	3	45	12
"LSO"	629	307	21	17	0	16	11
"LBR"	891	2	32	27	4	18	27
"LBY"	189	144	464	64	137	1	0
"LTU"	628	219	91	26	6	27	2
"LUX"	392	16	442	69	79	1	1
"MKD"	284	106	360	122	33	81	14
"MDG"	886	5	67	14	7	18	4
"MWI"	756	0	105	34	16	74	14
"MYS"	169	20	15	540	78	9	169
"MLI"	604	87	137	10	19	29	115
"MLT"	748	41	49	35	22	58	47
"MRT"	803	44	44	1	26	76	6
"MUS"	850	28	13	7	12	85	5
"MEX"	37	47	187	600	1	17	109
"MDA"	161	26	44	362	28	176	202
"MNG"	183	10	242	439	106	20	0
"MNE"	833	1	113	32	6	10	4
"MAR"	0	114	128	496	31	231	0
"MOZ"	903	25	49	1	4	0	18
"MMR"	186	0	511	74	27	68	134
"NAM"	509	196	16	16	134	110	19
"NPL"	172	14	0	272	37	2	503
"NLD"	821	18	64	75	0	3	19
"NZL"	652	141	77	60	7	12	50
"NIC"	213	208	310	123	28	22	97
"NER"	635	53	142	19	4	42	105
"NGA"	943	2	10	14	23	6	0
"NOR"	694	0	203	82	0	0	21
"OMN"	53	480	349	86	8	13	11
"PAK"	185	436	7	149	72	32	120
"PAN"	13	198	41	536	52	61	99
"PNG"	780	33	9	31	33	113	1
"PRY"	0	12	309	405	64	18	192
"PER"	10	178	147	396	5	71	194
"PHL"	14	125	5	2	2	568	284
"POL"	877	12	1	88	7	8	7
"PRT"	775	153	62	0	1	0	8
"QAT"	0	25	70	661	106	6	133
"ROU"	424	0	27	288	15	46	201
"RUS"	89	154	573	1	150	31	2
"RWA"	507	39	22	49	71	63	249
"SAU"	316	449	77	11	23	91	34
"SEN"	658	31	201	69	26	13	2
"SRB"	633	7	88	169	6	52	45
"SLE"	754	4	43	108	1	49	42
"SGP"	462	94	62	239	10	50	83
"SVK"	753	13	1	111	3	80	40
"SVN"	776	1	6	167	10	2	37
"ZAF"	127	352	7	326	0	0	188
"ESP"	680	174	82	27	2	6	30
"LKA"	408	68	206	85	171	17	44
"SDN"	755	35	1	3	78	60	69
"SWE"	794	7	135	55	0	0	8
"CHE"	779	3	173	10	17	9	9
"SYR"	12	73	606	152	17	139	1
"TWN"	960	20	0	9	10	0	0
"TJK"	6	672	10	204	33	9	66
"TZA"	803	4	149	29	1	0	14
"THA"	580	4	380	18	8	7	2
"TGO"	864	29	32	16	45	11	2
"TTO"	248	42	344	20	108	158	81
"TUN"	653	161	154	13	0	16	3
"TUR"	410	36	7	245	14	170	120
"TKM"	393	87	79	20	235	186	1
"UGA"	844	1	98	1	4	41	11
"UKR"	393	97	69	319	73	4	45
"ARE"	515	93	11	6	133	223	19
"GBR"	900	21	61	17	0	0	1
"USA"	559	189	1	125	3	8	116
"URY"	583	183	58	100	6	2	68
"UZB"	64	724	105	0	17	43	47
"VEN"	5	3	351	309	36	90	206
"VNM"	6	63	543	1	231	33	123
"YEM"	679	282	7	21	0	9	1
"ZMB"	558	25	46	14	18	166	172
"ZWE"	915	3	17	2	21	24	18

----------------------------------------------------------------------------------------------------


                    Contribuciones de las columnas del primer cubo en todas las repeticiones

Axis	1	2	3	4	5	6	7
"SF"	993	1	2	3	1	0	0
"SD"	998	0	2	0	0	0	0
"SS"	989	11	0	0	0	0	0
"Ed"	994	4	1	0	1	0	0
"HL"	996	1	1	2	0	0	0
"GE"	651	328	6	14	0	0	0
"ID"	903	73	19	5	0	0	0
"PG"	911	55	32	2	0	0	0
"GG"	917	48	35	0	0	0	0
"SF"	993	2	2	3	1	0	0
"SD"	998	0	2	0	0	0	0
"SS"	988	12	0	0	0	0	0
"Ed"	992	6	1	0	1	0	0
"HL"	997	1	1	1	0	0	0
"GE"	647	335	8	10	0	0	0
"ID"	890	84	20	5	0	0	0
"PG"	886	68	45	1	0	0	0
"GG"	908	55	36	0	0	0	0
"SF"	993	1	2	3	1	0	0
"SD"	997	0	2	0	0	0	0
"SS"	987	13	0	0	0	0	0
"Ed"	986	12	1	0	0	0	0
"HL"	997	0	1	1	0	0	0
"GE"	620	349	19	11	1	0	0
"ID"	894	89	9	8	0	0	0
"PG"	871	74	55	0	0	0	0
"GG"	919	48	33	0	0	0	0
"SF"	992	1	2	3	2	0	0
"SD"	997	0	3	0	0	0	0
"SS"	986	13	1	0	0	0	0
"Ed"	985	14	1	0	0	0	0
"HL"	998	0	1	1	0	0	0
"GE"	583	376	24	15	2	0	0
"ID"	898	85	13	4	0	0	0
"PG"	883	72	45	0	0	0	0
"GG"	911	55	33	0	0	0	0
"SF"	994	1	1	3	2	0	0
"SD"	996	0	3	0	0	0	0
"SS"	986	13	1	0	0	0	0
"Ed"	985	13	1	0	0	0	0
"HL"	998	0	0	1	0	0	0
"GE"	601	363	19	16	1	0	0
"ID"	872	111	13	4	0	0	0
"PG"	920	46	33	1	0	0	0
"GG"	901	66	32	0	0	0	0
"SF"	994	0	1	3	2	0	0
"SD"	996	0	3	0	1	0	0
"SS"	985	13	1	0	0	0	0
"Ed"	981	17	1	0	0	1	0
"HL"	998	0	0	1	0	0	0
"GE"	602	364	17	16	1	0	0
"ID"	869	114	13	3	0	0	0
"PG"	946	25	26	1	0	1	1
"GG"	894	76	29	0	0	0	0

----------------------------------------------------------------------------------------------------


                    Contribuciones de las filas segun el segundo cubo en todas las repeticiones

Axis	1	2	3	4	5	6	7
"ALB"	372	1	403	4	131	10	79
"DZA"	4	493	281	99	109	1	13
"AGO"	900	1	0	58	31	5	5
"ARG"	242	128	153	23	143	231	81
"ARM"	62	68	509	23	305	30	3
"AUS"	834	66	55	7	33	3	2
"AUT"	697	88	14	1	0	142	58
"AZE"	26	448	484	0	2	4	35
"BGD"	530	32	283	44	92	3	16
"BLR"	648	135	79	24	53	10	52
"BEL"	887	1	99	7	4	2	1
"BEN"	924	21	14	0	4	16	21
"BTN"	154	337	7	199	132	123	49
"BOL"	45	92	37	21	4	68	733
"BIH"	15	0	409	17	538	0	21
"BWA"	71	95	158	125	84	250	218
"BRA"	210	341	4	128	105	200	11
"BGR"	541	111	29	56	239	20	4
"BFA"	883	5	67	33	2	2	9
"BDI"	820	0	53	65	40	6	16
"KHM"	756	7	15	134	29	16	42
"CMR"	856	1	33	76	30	0	4
"CAN"	778	80	71	4	66	0	0
"CAF"	739	101	83	0	64	4	8
"TCD"	794	64	101	1	2	18	21
"CHL"	84	269	3	158	173	255	58
"CHN"	16	0	412	81	204	191	97
"COL"	231	6	193	150	4	257	160
"COG"	799	10	53	4	28	40	66
"COD"	884	10	69	28	3	6	0
"CRI"	356	192	36	161	67	43	145
"CIV"	687	63	1	30	31	76	111
"HRV"	241	290	193	86	4	48	140
"CUB"	35	19	78	314	202	168	184
"CYP"	859	1	16	22	4	14	82
"CZE"	827	60	22	35	3	20	34
"DNK"	797	140	38	10	1	6	8
"DOM"	17	1	49	102	659	73	98
"ECU"	31	75	219	23	557	56	39
"EGY"	4	617	100	220	39	0	21
"SLV"	634	14	13	14	320	4	1
"EST"	758	49	8	59	78	32	16
"ETH"	838	26	95	9	26	4	1
"FIN"	661	34	25	7	48	127	98
"FRA"	704	108	32	32	37	37	51
"GAB"	214	285	132	189	4	2	173
"GMB"	865	24	55	37	14	0	5
"GEO"	465	3	221	202	1	82	26
"DEU"	896	31	33	8	15	15	1
"GHA"	390	77	32	36	206	122	137
"GRC"	790	73	0	56	4	67	10
"GTM"	855	39	1	37	3	43	23
"GIN"	804	71	79	5	25	5	10
"GNB"	796	62	97	3	0	19	23
"GUY"	653	9	7	22	115	113	81
"HTI"	831	13	0	65	73	15	3
"HND"	557	37	182	54	99	9	62
"HUN"	712	204	22	38	0	23	1
"ISL"	168	84	597	34	113	1	2
"IND"	456	275	200	4	61	0	3
"IDN"	486	23	270	83	132	2	4
"IRN"	202	520	39	85	3	99	52
"IRQ"	3	775	25	59	17	52	69
"IRL"	771	56	26	18	80	1	49
"ISR"	529	198	53	68	111	1	40
"ITA"	769	38	10	73	98	12	0
"JAM"	30	2	299	240	386	1	42
"JPN"	836	1	20	49	45	45	4
