7.5128e-05,0.39228,0.0040319,-0.0083665,0.43413,-0.90085,2,4,-1
4.6908e-07,0.58043,-0.083153,-0.068837,-0.7703,-0.63768,1,3,1
6.2665e-06,0.49177,-0.042722,-0.062696,-0.56311,-0.82638,2,3,1
5.2823e-11,0.78565,-0.19901,-0.066718,-0.94814,-0.31786,1,3,-1
0.00017597,0.36017,-0.068523,0.060841,-0.74778,0.66394,1,2,1
8.3661e-11,0.78731,-0.036335,0.064109,-0.49308,0.86998,2,2,1
0.0010329,0.28915,-0.079557,0.10646,-0.5986,0.80105,2,2,1
7.4025e-09,0.68658,-0.058589,0.048588,-0.76975,0.63835,1,2,1
2.0225e-05,0.44246,0.018321,0.036556,0.44805,0.89401,2,1,1
1.0976e-06,0.54891,-0.019451,-0.026514,-0.5915,-0.8063,2,3,-1
2.378e-09,0.73013,-0.012946,-0.010866,-0.76597,-0.64288,1,3,-1
9.448e-14,0.92496,-0.013531,0.014925,-0.67167,0.74085,2,2,1
5.1026e-13,0.88696,-0.022409,0.026232,-0.64952,0.76034,2,2,1
0.00037425,0.32719,-0.035156,0.02907,-0.77066,0.63725,1,2,1
2.4493e-11,0.83573,-0.02923,-0.044934,-0.54528,-0.83825,2,3,1
1.8112e-09,0.71995,-0.05619,0.050008,-0.747,0.66482,1,2,1
